Dia del ano,Minuto,Temperatura,Dia de la semana,Radiacion
153,0,9.67,4,0.0
153,5,9.610833333333334,4,0.0
153,10,9.551666666666666,4,0.0
153,15,9.4925,4,0.0
153,20,9.433333333333334,4,0.0
153,25,9.374166666666667,4,0.0
153,30,9.315000000000001,4,0.0
153,35,9.255833333333333,4,0.0
153,40,9.196666666666667,4,0.0
153,45,9.137500000000001,4,0.0
153,50,9.078333333333333,4,0.0
153,55,9.019166666666667,4,0.0
153,60,8.96,4,0.0
153,65,8.901666666666667,4,0.0
153,70,8.843333333333334,4,0.0
153,75,8.785,4,0.0
153,80,8.726666666666667,4,0.0
153,85,8.668333333333333,4,0.0
153,90,8.61,4,0.0
153,95,8.551666666666668,4,0.0
153,100,8.493333333333334,4,0.0
153,105,8.435,4,0.0
153,110,8.376666666666667,4,0.0
153,115,8.318333333333333,4,0.0
153,120,8.26,4,0.0
153,125,8.200833333333334,4,0.0
153,130,8.141666666666666,4,0.0
153,135,8.0825,4,0.0
153,140,8.023333333333333,4,0.0
153,145,7.964166666666666,4,0.0
153,150,7.904999999999999,4,0.0
153,155,7.845833333333333,4,0.0
153,160,7.786666666666666,4,0.0
153,165,7.7275,4,0.0
153,170,7.668333333333333,4,0.0
153,175,7.609166666666667,4,0.0
153,180,7.55,4,0.0
153,185,7.4975,4,0.0
153,190,7.445,4,0.0
153,195,7.3925,4,0.0
153,200,7.34,4,0.0
153,205,7.2875,4,0.0
153,210,7.234999999999999,4,0.0
153,215,7.1825,4,0.0
153,220,7.13,4,0.0
153,225,7.0775,4,0.0
153,230,7.025,4,0.0
153,235,6.9725,4,0.0
153,240,6.92,4,0.0
153,245,6.8774999999999995,4,0.0
153,250,6.835,4,0.0
153,255,6.7925,4,0.0
153,260,6.75,4,0.0
153,265,6.7075,4,0.0
153,270,6.665,4,0.0
153,275,6.6225000000000005,4,0.0
153,280,6.58,4,0.0
153,285,6.5375,4,0.0
153,290,6.495,4,0.0
153,295,6.452500000000001,4,0.0
153,300,6.41,4,0.0
153,305,6.4191666666666665,4,0.0
153,310,6.428333333333334,4,0.0
153,315,6.4375,4,0.0
153,320,6.446666666666666,4,0.0
153,325,6.4558333333333335,4,0.0
153,330,6.465,4,0.0
153,335,6.474166666666666,4,0.0
153,340,6.483333333333333,4,0.0
153,345,6.4925,4,0.0
153,350,6.501666666666666,4,0.0
153,355,6.510833333333333,4,0.0
153,360,6.52,4,0.0
153,365,6.6125,4,0.0
153,370,6.705,4,0.0
153,375,6.797499999999999,4,0.0
153,380,6.89,4,0.0
153,385,6.9825,4,0.0
153,390,7.074999999999999,4,0.0
153,395,7.1674999999999995,4,0.0
153,400,7.26,4,0.0
153,405,7.3525,4,0.0
153,410,7.445,4,0.0
153,415,7.5375,4,0.0
153,420,7.63,4,0.0
153,425,7.7725,4,0.0
153,430,7.915,4,0.0
153,435,8.0575,4,0.0
153,440,8.2,4,0.0
153,445,8.3425,4,0.0
153,450,8.485,4,0.0
153,455,8.6275,4,0.0
153,460,8.77,4,0.0
153,465,8.9125,4,19.047454276685297
153,470,9.055,4,23.652993107498578
153,475,9.1975,4,33.630203100974697
153,480,9.34,4,49.019544123442969
153,485,9.48,4,68.54706401081053
153,490,9.62,4,90.847609540393591
153,495,9.76,4,114.80277011652674
153,500,9.9,4,139.61099632172417
153,505,10.04,4,164.73939015023575
153,510,10.18,4,189.84955053481281
153,515,10.32,4,214.73350944318986
153,520,10.459999999999999,4,239.26717231822599
153,525,10.6,4,263.37907000977145
153,530,10.74,4,287.0301076391479
153,535,10.879999999999999,4,310.20077586878847
153,540,11.02,4,332.88310125033433
153,545,11.1425,4,355.07568517330196
153,550,11.265,4,376.78062566768631
153,555,11.3875,4,398.00164063732643
153,560,11.51,4,418.74297065558909
153,565,11.6325,4,439.0087075269825
153,570,11.754999999999999,4,458.80245937155502
153,575,11.8775,4,478.12715168865236
153,580,12.0,4,496.98498115422893
153,585,12.1225,4,515.3773929504946
153,590,12.245000000000001,4,533.30513438231787
153,595,12.3675,4,550.768303055253
153,600,12.49,4,567.7664056759312
153,605,12.6125,4,584.29844276146332
153,610,12.735,4,600.36295789591043
153,615,12.8575,4,615.95811973552668
153,620,12.98,4,631.08176475889729
153,625,13.102500000000001,4,645.7314690902956
153,630,13.225000000000001,4,659.90458247602396
153,635,13.3475,4,673.59828761984522
153,640,13.47,4,686.80963492648607
153,645,13.592500000000001,4,699.53557424673011
153,650,13.715,4,711.77300009766327
153,655,13.8375,4,723.51876755698686
153,660,13.96,4,734.76973184899612
153,665,14.068333333333333,4,745.52275943199652
153,670,14.176666666666668,4,755.7747612756724
153,675,14.285,4,765.52270032143383
153,680,14.393333333333334,4,774.76361826912193
153,685,14.501666666666667,4,783.49464640301539
153,690,14.61,4,791.71301601492542
153,695,14.718333333333334,4,799.41607864971763
153,700,14.826666666666666,4,806.60130822007091
153,705,14.935,4,813.266319039927
153,710,15.043333333333333,4,819.40886683421093
153,715,15.151666666666667,4,825.02686364900535
153,720,15.26,4,830.11837814751311
153,725,15.3675,4,834.68164714223371
153,730,15.475,4,838.71507835597822
153,735,15.5825,4,842.21725376958761
153,740,15.69,4,845.18693723882461
153,745,15.7975,4,847.62307414081113
153,750,15.905000000000001,4,849.52479738982015
153,755,16.0125,4,850.89142710725434
153,760,16.12,4,851.72247441873276
153,765,16.2275,4,852.01764123495968
153,770,16.335,4,851.77682195923217
153,775,16.4425,4,851.00010308500919
153,780,16.55,4,849.6877635972013
153,785,16.643333333333334,4,847.84027333649635
153,790,16.736666666666668,4,845.45829318062272
153,795,16.830000000000002,4,842.54267133110784
153,800,16.923333333333336,4,839.09444360271186
153,805,17.01666666666667,4,835.11482749293577
153,810,17.11,4,830.60522250211716
153,815,17.203333333333333,4,825.567202594121
153,820,17.296666666666667,4,820.00251285581055
153,825,17.39,4,813.91306674582984
153,830,17.483333333333334,4,807.30093464647507
153,835,17.576666666666668,4,800.16834354779962
153,840,17.67,4,792.51766223487948
