Fecha y Hora,Potencia generada(kW)
2017-06-02 00:00:00-03:00,0.0
2017-06-02 00:05:00-03:00,0.0
2017-06-02 00:10:00-03:00,0.0
2017-06-02 00:15:00-03:00,0.0
2017-06-02 00:20:00-03:00,0.0
2017-06-02 00:25:00-03:00,0.0
2017-06-02 00:30:00-03:00,0.0
2017-06-02 00:35:00-03:00,0.0
2017-06-02 00:40:00-03:00,0.0
2017-06-02 00:45:00-03:00,0.0
2017-06-02 00:50:00-03:00,0.0
2017-06-02 00:55:00-03:00,0.0
2017-06-02 01:00:00-03:00,0.0
2017-06-02 01:05:00-03:00,0.0
2017-06-02 01:10:00-03:00,0.0
2017-06-02 01:15:00-03:00,0.0
2017-06-02 01:20:00-03:00,0.0
2017-06-02 01:25:00-03:00,0.0
2017-06-02 01:30:00-03:00,0.0
2017-06-02 01:35:00-03:00,0.0
2017-06-02 01:40:00-03:00,0.0
2017-06-02 01:45:00-03:00,0.0
2017-06-02 01:50:00-03:00,0.0
2017-06-02 01:55:00-03:00,0.0
2017-06-02 02:00:00-03:00,0.0
2017-06-02 02:05:00-03:00,0.0
2017-06-02 02:10:00-03:00,0.0
2017-06-02 02:15:00-03:00,0.0
2017-06-02 02:20:00-03:00,0.0
2017-06-02 02:25:00-03:00,0.0
2017-06-02 02:30:00-03:00,0.0
2017-06-02 02:35:00-03:00,0.0
2017-06-02 02:40:00-03:00,0.0
2017-06-02 02:45:00-03:00,0.0
2017-06-02 02:50:00-03:00,0.0
2017-06-02 02:55:00-03:00,0.0
2017-06-02 03:00:00-03:00,0.0
2017-06-02 03:05:00-03:00,0.0
2017-06-02 03:10:00-03:00,0.0
2017-06-02 03:15:00-03:00,0.0
2017-06-02 03:20:00-03:00,0.0
2017-06-02 03:25:00-03:00,0.0
2017-06-02 03:30:00-03:00,0.0
2017-06-02 03:35:00-03:00,0.0
2017-06-02 03:40:00-03:00,0.0
2017-06-02 03:45:00-03:00,0.0
2017-06-02 03:50:00-03:00,0.0
2017-06-02 03:55:00-03:00,0.0
2017-06-02 04:00:00-03:00,0.0
2017-06-02 04:05:00-03:00,0.0
2017-06-02 04:10:00-03:00,0.0
2017-06-02 04:15:00-03:00,0.0
2017-06-02 04:20:00-03:00,0.0
2017-06-02 04:25:00-03:00,0.0
2017-06-02 04:30:00-03:00,0.0
2017-06-02 04:35:00-03:00,0.0
2017-06-02 04:40:00-03:00,0.0
2017-06-02 04:45:00-03:00,0.0
2017-06-02 04:50:00-03:00,0.0
2017-06-02 04:55:00-03:00,0.0
2017-06-02 05:00:00-03:00,0.0
2017-06-02 05:05:00-03:00,0.0
2017-06-02 05:10:00-03:00,0.0
2017-06-02 05:15:00-03:00,0.0
2017-06-02 05:20:00-03:00,0.0
2017-06-02 05:25:00-03:00,0.0
2017-06-02 05:30:00-03:00,0.0
2017-06-02 05:35:00-03:00,0.0
2017-06-02 05:40:00-03:00,0.0
2017-06-02 05:45:00-03:00,0.0
2017-06-02 05:50:00-03:00,0.0
2017-06-02 05:55:00-03:00,0.0
2017-06-02 06:00:00-03:00,0.0
2017-06-02 06:05:00-03:00,0.0
2017-06-02 06:10:00-03:00,0.0
2017-06-02 06:15:00-03:00,0.0
2017-06-02 06:20:00-03:00,0.0
2017-06-02 06:25:00-03:00,0.0
2017-06-02 06:30:00-03:00,0.0
2017-06-02 06:35:00-03:00,0.0
2017-06-02 06:40:00-03:00,0.0
2017-06-02 06:45:00-03:00,0.0
2017-06-02 06:50:00-03:00,0.0
2017-06-02 06:55:00-03:00,0.0
2017-06-02 07:00:00-03:00,0.0
2017-06-02 07:05:00-03:00,0.0
2017-06-02 07:10:00-03:00,0.0
2017-06-02 07:15:00-03:00,0.0
2017-06-02 07:20:00-03:00,0.0
2017-06-02 07:25:00-03:00,0.0
2017-06-02 07:30:00-03:00,0.0
2017-06-02 07:35:00-03:00,0.0
2017-06-02 07:40:00-03:00,0.0
2017-06-02 07:45:00-03:00,0.61977272966891706
2017-06-02 07:50:00-03:00,0.85455660392199562
2017-06-02 07:55:00-03:00,1.3686044021506467
2017-06-02 08:00:00-03:00,2.1697827958066602
2017-06-02 08:05:00-03:00,3.1938637730050323
2017-06-02 08:10:00-03:00,4.3673903580365963
